문제번호,문제,선택지1,선택지2,선택지3,선택지4,정답,해설
1,다음 중 빅데이터의 3V 특성이 아닌 것은?,Volume,Variety,Velocity,Veracity,4,빅데이터의 3V는 Volume, Variety, Velocity입니다.
2,데이터 분석에서 이상치를 처리하는 방법이 아닌 것은?,삭제,평균값으로 대체,중앙값으로 대체,무시,4,이상치는 분석에 영향을 줄 수 있으므로 적절히 처리해야 합니다.
3,다음 중 머신러닝 알고리즘이 아닌 것은?,선형회귀,의사결정나무,랜덤포레스트,엑셀,4,엑셀은 스프레드시트 프로그램입니다.
4,정규화(Normalization)의 목적은?,데이터 크기 조정,데이터 타입 변환,데이터 삭제,데이터 복사,1,정규화는 데이터의 범위를 조정하여 비교 가능하게 만듭니다.
5,다음 중 지도학습(Supervised Learning)에 해당하는 것은?,K-means,주성분분석,회귀분석,군집분석,3,회귀분석은 지도학습 알고리즘입니다.
6,교차검증(Cross Validation)의 장점은?,모델 성능 평가,과적합 방지,데이터 활용 극대화,모두 해당,4,교차검증은 모든 장점을 가지고 있습니다.
7,다음 중 분류 문제가 아닌 것은?,이메일 스팸 분류,이미지 인식,주가 예측,의료 진단,3,주가 예측은 회귀 문제입니다.
8,특성 선택(Feature Selection)의 목적은?,모델 성능 향상,계산 비용 감소,해석 가능성 향상,모두 해당,4,특성 선택은 모든 목적을 달성합니다.
9,다음 중 앙상블 학습이 아닌 것은?,배깅,부스팅,스태킹,단일 모델,4,단일 모델은 앙상블 학습이 아닙니다.
10,ROC 곡선의 AUC 값이 1에 가까울수록?,모델 성능이 좋음,모델 성능이 나쁨,과적합 가능성,과소적합 가능성,1,AUC가 1에 가까울수록 모델 성능이 좋습니다.

